subject #,segment #,_dbrain_18cluster_LORB,_dbrain_18cluster_RORB,_dbrain_18cluster_LP,_dbrain_18cluster_RP,_dbrain_18cluster_LIF,_dbrain_18cluster_RIF,_dbrain_18cluster_LPF,_dbrain_18cluster_RPF,_dbrain_18cluster_LT,_dbrain_18cluster_RT,_dbrain_18cluster_LIT,_dbrain_18cluster_RIT,_dbrain_18cluster_LTP,_dbrain_18cluster_RTP,_dbrain_18cluster_LO,_dbrain_18cluster_RO,_dbrain_18cluster_LIO,_dbrain_18cluster_RIO
00315,Segment 1,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 2,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 3,-0.77310,-0.29896,0.99407,0.50146,-2.45044,4.12809,3.82148,3.07023,-0.07163,0.05381,-4.24640,0.07461,-1.78214,-2.48094,-0.94406,-1.29048,-5.10177,-1.91966
00315,Segment 4,-1.68240,0.61006,2.59463,3.31646,-4.03989,-5.72266,0.76890,0.97246,0.60866,-0.35347,-2.16164,-4.75072,-0.16147,-1.31612,2.29204,2.03729,0.39149,-0.45333
00315,Segment 5,-3.87957,-3.96582,2.96973,4.66462,-1.73985,-0.76668,0.50169,0.28779,1.19975,0.69575,-4.04078,-2.48729,-0.64926,1.45525,-0.22377,1.94074,-3.78087,-1.61068
00315,Segment 6,3.22817,3.07185,2.53271,1.23561,-3.48951,-4.38555,3.90510,3.89760,0.85986,0.77545,-1.49111,-6.03976,-0.36482,-3.01701,-1.94303,-3.20344,-2.87557,-4.94321
00315,Segment 7,4.45607,1.47142,-5.68339,-7.14136,13.24793,11.56068,-1.17313,-4.48588,3.99461,-3.15525,5.66873,4.11905,-0.89433,-2.03334,-3.54005,-4.25609,-1.09012,0.19610
00315,Segment 8,0.93508,-3.13757,-1.63267,-3.09970,4.24511,3.79458,-2.11948,-4.26584,3.20043,-0.38032,0.90412,3.07236,0.41443,0.96651,-0.01589,-0.86141,6.47514,2.56373
00315,Segment 9,-2.97581,-3.44550,4.39647,2.06639,-1.01751,1.92371,0.99300,-1.04471,0.33573,-3.02459,-2.09828,0.76742,-1.88147,1.15254,0.44266,1.05359,-3.21044,-0.18947
00315,Segment 10,-1.68035,0.90483,4.57880,2.13655,-4.54782,-2.37453,4.32984,3.99199,-1.52731,-2.61678,-5.64376,0.20847,-1.25609,-0.98223,0.19154,0.14028,-5.98386,-2.40636
00315,Segment 11,1.61839,1.04599,2.25089,2.13546,-2.42264,-1.01871,3.71531,2.33302,2.12310,1.57831,-4.57556,-1.05195,-2.49782,-1.38757,-2.44229,-2.57561,-8.80603,-5.78505
00315,Segment 12,3.70809,1.21581,0.80748,-1.95788,0.14023,-5.07835,2.50817,-0.00861,2.80248,0.73582,0.85158,-1.60112,0.60384,-2.54638,-0.13961,-2.03018,-0.59745,-2.43458
00315,Segment 13,-2.13919,0.93193,-6.67430,-3.03113,2.27801,4.48687,-4.35665,-0.55195,-0.18439,5.84951,5.82974,2.44817,1.36296,2.45478,-0.58398,-0.34383,2.63402,2.63123
00315,Segment 14,-1.98567,-0.45483,-0.76005,1.30022,-0.40925,3.37592,-1.95087,-0.25090,-0.47479,4.20806,-3.28141,2.65569,-2.37944,2.62194,-0.54572,1.22431,-5.99318,-1.66342
00315,Segment 15,-4.38985,-4.04034,1.76396,2.34938,-1.76349,-4.58013,-2.95440,-1.07464,-1.59294,-0.52650,2.66992,-1.08039,2.98134,1.85075,4.91040,4.19391,0.71809,3.40117
00315,Segment 16,4.31310,0.03760,5.18220,2.41094,-4.53125,-10.83798,8.27274,2.83083,3.36441,-3.14773,-0.73428,-7.37921,0.33052,-4.62818,-0.31156,-2.78455,-3.62805,-4.31647
00315,Segment 17,-0.94261,-1.33078,-1.04553,-0.39502,1.07189,1.21658,-1.10101,-3.47736,3.46985,0.26685,4.04678,-0.41775,1.15394,2.21495,-1.16470,-0.65355,0.41356,0.94593
00315,Segment 18,-2.61111,1.13640,1.12412,0.08744,-4.28041,0.98789,-0.25290,0.32557,-0.25341,1.08982,-2.98236,2.88604,-0.85659,2.32761,-0.21841,1.74437,-2.33768,0.05377
00315,Segment 19,-5.33024,-6.62743,-2.17190,-1.42444,5.71676,1.86141,-4.57637,-5.99810,4.27445,2.65442,6.76056,2.00445,4.70440,3.40954,1.46881,-0.08553,2.97112,3.49209
00315,Segment 20,0.37889,-0.44158,-2.41297,-0.98864,4.19113,6.31554,-2.47166,-2.27496,0.86696,1.89794,-0.27042,5.54634,-2.23464,1.24815,-1.92423,-0.55232,-3.60149,-1.91889
00315,Segment 21,-4.50979,-3.94505,-0.39927,0.50682,2.02696,-2.41390,-1.80473,-3.53006,2.26938,1.31135,5.44766,-0.36102,3.11117,1.42646,2.04245,0.76923,3.31999,1.12736
00315,Segment 22,7.97290,-0.27308,-2.53763,-6.26066,7.21886,1.96283,1.94561,-4.29127,3.98844,-4.56971,3.43385,4.48355,0.36416,-1.04311,-2.11476,-2.48786,0.73325,0.73844
00315,Segment 23,-0.22060,3.68697,1.30658,0.92358,2.06095,1.80404,2.95053,3.76596,1.83216,2.09375,-2.70895,-6.49111,-4.95826,-2.54192,-4.19383,-3.52261,-6.24127,-3.49194
00315,Segment 24,-1.99440,-0.82486,0.94836,1.66614,0.06466,0.79447,-0.74712,1.07600,1.54497,0.18526,0.18597,0.99934,-1.54813,-0.13499,-2.06401,-0.99652,-0.05988,-1.90813
00315,Segment 25,-5.88351,-11.47238,4.90691,1.81759,-0.35127,-1.12354,-3.47607,-7.25364,2.47338,-1.19960,2.31425,5.43862,2.05236,3.91020,4.19106,3.59732,5.95741,1.21141
00315,Segment 26,0.69113,-0.26238,2.55677,-0.12791,-6.02116,-2.10830,0.40135,-1.51385,-1.17472,-1.65751,-0.97794,1.48394,1.61943,0.55946,1.57284,1.58624,4.35233,2.39947
00315,Segment 27,-1.29726,-3.90759,1.25303,-0.58532,0.89633,1.93692,2.79840,0.21236,1.67348,-0.86591,-0.50547,0.09961,-0.49684,0.41179,-1.58316,-0.49027,-2.40374,1.38514
00315,Segment 28,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 29,-3.30142,1.76690,-1.15828,1.34333,-1.44240,0.82756,0.14033,3.58234,-1.63299,3.66966,-1.80580,1.74768,-1.43451,1.55358,-2.16742,-1.05484,-1.94280,-1.85914
00315,Segment 30,-4.59340,0.34525,0.57593,3.19728,-3.74198,-5.86572,-0.56233,1.91234,-0.13019,0.59753,-2.44169,-2.94153,0.25671,3.72799,1.33720,2.98940,1.51130,2.52353
00315,Segment 31,3.01302,3.13312,2.32035,2.75065,-2.73899,0.66061,3.50471,3.72440,0.77884,2.58580,-7.19647,-4.42137,-5.19585,-0.81113,-4.36514,-2.80008,-7.96507,-4.97106
00315,Segment 32,-6.37289,-6.13787,0.21715,0.13587,1.03462,-3.05105,-5.92980,-5.32612,0.97031,0.65443,2.57749,2.01140,4.73580,3.99764,5.81049,5.86207,6.82564,4.44734
00315,Segment 33,3.88933,3.20088,-1.51129,-1.67110,-0.18840,-1.53487,4.49729,1.76341,1.80402,-0.76225,-0.73399,-3.61563,-1.36424,-0.95854,-2.15194,-2.05333,1.13180,-1.88312
00315,Segment 34,2.85169,2.86899,0.56875,0.64983,0.25051,-1.14271,2.00436,2.19287,0.80135,1.39878,-2.21203,-4.63876,-2.56045,-2.80333,-1.17085,-2.28215,-3.08620,-3.12347
00315,Segment 35,-2.16749,-1.98731,-1.86404,-0.04480,2.79177,4.76254,-0.73673,-1.37444,0.34414,2.26572,-0.27811,2.82634,-1.43346,1.56251,-0.85992,0.47876,-1.80258,-1.80121
00315,Segment 36,-5.43279,-6.26801,-2.19911,-0.11235,0.62269,1.63884,-5.14953,-4.48710,-3.18311,-1.22449,6.20071,2.48814,5.10647,4.42733,5.34986,5.11905,8.82526,7.64090
00315,Segment 37,-1.43272,-4.92362,-0.02574,-3.16623,5.08096,-1.62729,-1.25373,-5.18240,4.35217,-0.48469,7.26780,0.50786,5.88882,0.68734,3.06286,-0.87654,-0.35818,0.11060
00315,Segment 38,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 39,5.58060,2.31253,-0.73688,-0.74254,-0.03560,-4.83144,1.58036,0.76445,2.96930,-1.38683,2.39242,-0.82465,0.28562,-2.00661,-1.24159,-3.26811,0.81207,-2.87191
00315,Segment 40,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 1,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 2,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 3,-1.26124,-2.55453,0.78208,3.38842,-0.60207,2.29999,2.45827,2.15246,0.38138,2.19132,-4.87999,0.36717,-3.63518,-0.78725,-2.27556,-0.36756,-6.39182,-2.59100
00315,Segment 4,-4.12440,-3.02394,1.83518,0.48900,-0.80347,2.11222,-2.23889,-4.00115,0.62586,-2.20978,0.06684,2.09499,1.24879,1.58624,2.90650,3.41052,1.80491,2.50146
00315,Segment 5,-7.54437,-6.64418,0.03284,4.73112,-0.40760,0.05482,-4.41832,-2.33898,-0.94524,1.54560,1.27285,0.15452,0.33645,5.69522,1.94725,4.98412,2.71559,3.96803
00315,Segment 6,-0.40240,0.98070,-3.50991,-1.32688,2.76308,6.06620,-3.75035,-2.35696,-0.14880,4.97032,0.52621,3.93241,-0.67484,2.38888,-2.51493,-0.61333,-1.20785,-0.41681
00315,Segment 7,2.32745,1.72469,-3.46876,-2.20779,6.34662,5.31521,-0.20918,-0.69011,1.66778,-0.08673,1.94945,0.81376,-1.73343,0.95160,-3.79806,-2.48871,-3.12166,-1.60731
00315,Segment 8,0.60171,-3.08768,-0.95316,-2.99497,5.37254,3.01719,-1.25387,-5.10643,3.10006,-1.24254,2.45805,2.10828,0.44923,0.51971,0.14338,-0.70175,5.41917,2.07831
00315,Segment 9,-2.82346,-1.64078,2.86187,3.59095,-1.13532,-3.37271,-0.71156,1.49711,-1.17069,-0.46834,-0.68292,-2.60669,-1.64140,1.20101,1.17213,1.67370,-1.41234,-0.43116
00315,Segment 10,-2.41409,0.81919,4.06862,4.59299,-5.91663,-3.38150,3.41806,5.33235,-4.80571,0.03146,-7.01585,0.52462,-4.01134,1.41394,-0.38620,1.53475,-5.70383,-1.89283
00315,Segment 11,-2.54500,-3.22239,-1.21255,2.30755,-0.98004,1.74657,-1.88653,-0.98561,-0.55049,3.65668,-1.78241,4.24615,-1.09598,3.97702,-1.00386,1.70515,-2.08042,-0.22882
00315,Segment 12,-0.54407,-0.35085,1.40939,0.01615,-1.71044,-9.37345,0.49818,1.49169,2.72860,2.61506,3.21985,-5.54091,2.47885,-2.54551,2.07160,-0.40919,3.06921,-0.98998
00315,Segment 13,-0.05123,0.41727,-5.45089,-1.76124,2.95698,6.50064,-2.15381,0.44928,-0.20846,4.61673,1.21330,3.82846,-1.73617,1.93560,-2.85056,-0.98893,-1.82540,0.43966
00315,Segment 14,-5.76707,-1.90180,-2.22771,3.30464,0.79923,2.95612,-7.49143,-1.51238,-3.90644,6.11926,-1.20265,3.88003,-1.10973,4.87615,1.98880,4.39622,-1.72732,1.30208
00315,Segment 15,-5.29691,-4.77407,2.13227,3.59558,-3.06766,-6.43710,-2.47106,-0.84190,-1.20946,-1.17022,0.88710,-1.65427,2.94329,1.56676,5.44813,5.16423,3.17373,5.26991
00315,Segment 16,3.75908,1.00880,5.70708,3.38028,-6.87859,-8.02976,7.47980,3.35583,2.23633,-2.37331,-5.60284,-5.23177,-0.90696,-2.85590,-1.47375,-1.73222,-5.87360,-4.52058
00315,Segment 17,0.40418,1.64865,-1.28142,0.67322,-0.72747,-1.01077,-0.14616,-0.05452,0.95659,2.61387,2.70560,-1.12613,0.88475,0.44321,-1.62167,-2.13518,-2.03219,-1.76421
00315,Segment 18,-2.90581,0.07970,0.86782,-0.58438,-1.84269,2.01213,-1.49678,-0.20626,-1.51865,-0.50841,-1.72390,3.57140,-0.68549,2.17281,0.91462,3.02268,-0.86060,1.44235
00315,Segment 19,-1.52317,-4.77320,-1.77854,-1.19365,4.37257,1.92378,-3.10421,-4.88000,4.85554,2.11927,2.86710,1.73309,3.08140,2.09816,0.37563,-0.60698,0.04929,1.31618
00315,Segment 20,0.36216,-0.16073,-2.78373,-1.30396,4.26715,6.83343,-2.26551,-2.60606,1.44704,3.23487,-0.94150,5.57740,-2.29920,1.85623,-2.73589,-1.24601,-3.97652,-2.01723
00315,Segment 21,-3.18867,-1.90713,-0.28850,0.31038,2.10054,-1.79375,-1.26315,-3.55980,1.46283,-0.42197,2.31031,1.02144,2.26677,1.51575,2.03965,1.42855,1.96538,0.72748
00315,Segment 22,6.06134,-0.56080,-1.01390,-6.07177,6.37827,2.48047,4.01115,-3.46149,4.39768,-6.38485,4.04086,3.00932,0.20354,-2.28046,-1.80422,-2.65292,0.01441,0.16654
00315,Segment 23,-3.78461,1.06870,4.37141,4.14005,-3.18735,-2.10199,2.80229,4.35135,-0.07128,1.13711,-4.09752,-6.39058,-3.13961,-1.76961,-0.47505,-0.90346,-4.78034,-3.49141
00315,Segment 24,-4.09654,-2.04698,2.86865,2.03617,-0.61861,-1.69208,-2.00421,0.48557,0.25960,-0.64293,2.70921,-1.62788,1.38240,-0.69132,1.14608,0.12428,2.25652,-0.96605
00315,Segment 25,-5.32554,-6.48731,-0.73154,-1.00909,3.92663,6.76264,-7.18365,-7.21497,-1.94707,-0.29615,5.25605,8.34329,1.52847,4.93825,3.16164,3.10184,6.34742,4.06652
00315,Segment 26,-0.14833,-1.33681,3.10263,-2.08025,-1.52391,-5.65889,1.44862,-3.62849,2.53231,-4.51762,4.64191,-3.51331,5.90594,-1.30794,4.46726,0.67230,3.38189,2.34292
00315,Segment 27,-3.82920,-2.01874,1.57549,1.99906,-1.67937,2.04292,-0.40420,1.71445,-2.99756,1.39895,-2.19374,1.02387,-2.53966,1.67672,-0.12011,1.74032,-1.96824,1.46435
00315,Segment 28,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 29,-4.83752,-0.19270,0.44484,0.79788,-0.68424,1.25087,0.37987,1.62797,0.03430,1.45811,-0.53774,1.30254,0.18480,0.23765,-0.75535,-0.65516,-1.25634,-0.58293
00315,Segment 30,-2.40026,-0.81933,0.74977,4.01137,-3.52789,-6.63983,0.12741,2.12776,-0.39440,0.72859,-3.28868,-4.91816,-0.33049,2.88367,1.42606,3.97895,-0.06969,1.62004
00315,Segment 31,1.54012,1.59514,-0.53429,1.48416,0.87110,5.31696,-0.37079,-0.39375,-1.75727,3.63830,-4.18222,0.79629,-5.02068,2.03157,-3.80728,-0.56070,-5.37386,-1.93955
00315,Segment 32,-5.65244,-4.20986,-1.52178,-2.91275,2.12396,-1.49977,-5.40517,-6.88974,4.39534,-0.75049,5.26316,2.41128,6.09991,2.03720,5.40000,4.44120,8.47289,5.83339
00315,Segment 33,7.17863,7.13710,-2.86532,-2.56932,0.10718,2.58370,5.67897,4.11503,0.85047,1.69319,-3.52838,-2.40728,-5.12648,-2.61560,-5.86891,-4.50372,-2.94837,-4.79508
00315,Segment 34,-0.13292,0.87111,0.52389,1.17291,-0.31425,-1.32844,0.33005,0.49451,1.07239,1.83001,-1.20095,-2.87092,-2.18450,0.84624,-0.73916,-0.42802,-1.54901,-1.44605
00315,Segment 35,0.53397,0.61175,-3.31327,-0.00745,3.77216,6.83939,-1.84460,-0.71872,-1.05307,3.95289,-1.68129,2.89342,-3.71674,1.88245,-2.92091,-0.27033,-3.44825,-2.46971
00315,Segment 36,-3.68545,-9.07142,-1.15468,-3.85479,3.53904,1.92878,-4.39565,-7.75356,1.34596,-2.10425,7.11716,4.21935,7.33593,3.73956,5.86854,4.40679,6.61628,6.79649
00315,Segment 37,-3.19153,-5.08804,-2.46216,-3.70671,5.26240,2.47581,-3.30583,-6.25839,1.88859,0.48378,5.26573,5.04291,4.25351,4.34945,2.72489,2.02257,2.58971,2.49051
00315,Segment 38,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 39,5.20345,0.51812,-0.75212,0.34808,2.09149,-6.57649,1.12751,0.12685,4.06726,-2.42643,3.43914,-3.62029,0.84093,-2.78025,-0.20492,-2.00267,1.45929,-2.47243
00315,Segment 40,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 1,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 2,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 3,-0.45259,-3.27854,0.29012,0.77411,2.96113,6.02004,-0.63718,-2.53849,-1.35485,-0.99028,-1.99895,3.37855,-2.22082,1.11619,-0.36829,1.49289,-3.21744,0.30187
00315,Segment 4,0.83439,2.41375,0.41116,-0.96235,-0.13781,0.42582,0.38111,0.82414,1.93562,-1.74747,-1.16686,-0.03989,-1.94817,-1.06736,-1.10754,0.24050,-1.15210,-0.57672
00315,Segment 5,-4.97073,-6.41817,3.06517,4.21098,-4.00743,-3.43582,-1.52744,-1.25733,-0.13151,-1.13165,-0.56388,-2.06534,2.58871,2.33441,4.38322,4.88122,1.98878,0.97876
00315,Segment 6,-5.95257,-3.68579,0.27769,2.40144,-2.46143,2.38697,-3.03702,-2.55346,0.55203,4.57579,-0.04534,2.82594,2.23918,2.94116,0.60788,0.72230,-0.53804,-0.02028
00315,Segment 7,-0.30450,-2.23952,-2.19319,-4.22871,6.71624,4.72785,-1.30878,-5.98299,1.57580,-2.15484,8.42397,0.84631,3.66450,0.55438,0.65818,-0.95033,3.94986,1.76430
00315,Segment 8,0.37768,-3.10826,-1.10663,-4.17145,4.70352,5.87036,-0.51562,-5.41791,1.63074,-3.92750,4.93446,2.14204,1.80431,-1.73186,1.75669,-0.24742,7.60267,3.19943
00315,Segment 9,-3.72705,-3.66294,1.32472,-1.66766,4.97863,0.28004,-1.92396,-3.66837,0.91857,-1.86920,3.74218,1.19370,2.52084,1.52677,2.54742,1.54529,0.42796,1.27506
00315,Segment 10,-1.03643,-0.56498,2.44729,3.33071,-4.43433,-2.71560,2.06227,2.59326,-2.08704,-1.29147,-5.36601,-0.14228,-3.34566,2.35936,0.63607,3.02726,-3.70294,-0.28892
00315,Segment 11,-4.21076,-10.10633,2.10534,-1.94782,3.89354,0.16799,-3.20148,-7.74207,2.38036,-5.02042,4.74742,5.26568,5.61556,2.01729,5.66330,4.68487,4.86568,5.16256
00315,Segment 12,-1.79682,-1.47298,-0.88295,-0.64510,1.49390,0.61806,-4.20881,-1.80394,-1.36294,1.34725,2.05085,2.37694,0.88230,0.30022,2.41384,2.64972,2.79780,1.85920
00315,Segment 13,2.98625,1.91496,-4.48488,-3.36244,4.28518,5.76699,-0.43501,-0.85940,0.47068,1.69932,0.87893,3.46892,-3.24836,-0.41097,-2.08036,-1.26596,-0.94623,0.27321
00315,Segment 14,-3.69629,-2.61120,-3.30285,0.47414,2.57688,4.48792,-6.65826,-3.59308,-1.35749,3.22239,0.35122,6.27963,-0.42277,4.66433,1.93867,3.31437,0.83338,2.77212
00315,Segment 15,-4.99505,-0.83773,0.53152,3.85647,-3.11393,-0.53832,-3.70281,-0.41727,-5.86483,-0.33707,-1.62135,1.64883,-0.70037,3.64424,4.07879,5.22756,2.28027,4.38986
00315,Segment 16,4.56317,3.89944,4.30621,3.79604,-5.00393,-7.55927,8.22187,5.99841,0.34444,-1.87471,-6.03049,-6.39060,-2.94182,-3.92171,-2.76819,-2.93724,-6.62841,-6.60124
00315,Segment 17,0.63730,3.05998,-1.70280,-1.41899,0.95577,4.78352,-1.47665,-0.33266,-1.96695,1.51871,-0.55773,4.07501,-1.98566,0.19175,-1.37928,-0.73238,-2.86396,0.30451
00315,Segment 18,-1.25242,-1.07784,1.79187,0.19317,-2.73670,-0.67577,0.04985,-1.74736,-0.45777,-1.60596,-1.89514,1.46207,-0.42901,1.29155,2.30518,3.61843,-0.27289,1.56786
